client_code,confirmation_statement_date
AB001,2026-05-01
AB003,2026-01-14
AB005,2026-05-08
AB006,2026-04-27
AC001,2026-08-22
AD007,2026-04-22
AL008,2026-11-01
AL009,2026-07-06
AL011,2026-06-29
AL012,2026-02-01
AM006,2026-01-19
AM009,2026-08-15
AN002,2026-10-21
AP001,2026-04-12
AR004,2026-08-30
AR010,2026-01-30
AS002,2026-09-12
AS003,2026-06-12
AS009,2026-03-28
AS010,2026-07-18
AU004,2026-10-18
AU007,2026-09-20
AU008,2026-12-12
AV002,2026-02-14
BA003,2026-04-04
BA005,2026-02-25
BA016,2026-02-22
BD001,2026-03-18
BE006,2026-11-26
BE012,2026-05-01
BE014,2026-07-04
BE015,2026-03-15
BE019,2026-10-04
BI012,2026-02-09
BK001,2026-01-09
BL006,2026-06-18
BL007,2026-11-30
BO010,2026-04-22
BR003,2026-04-19
BR004,2026-12-05
BR007,2026-03-01
BR010,2026-02-19
BR012,2026-01-23
BS001,2026-09-24
BU010,2026-07-01
BU011,2026-12-29
C.001,2026-10-17
C 002,2026-04-01
C 003,2026-09-28
c2001,2026-11-09
CA006,2026-01-08
CA018,2026-12-01
CA019,2026-10-01
CH003,2026-06-16
CH012,2026-08-02
CH013,2026-11-21
CL008,2026-06-10
CM002,2026-02-16
CO009,2026-11-25
CO012,2026-06-26
CO019,2026-11-22
CO021,2026-08-10
CO022,2026-06-23
CO024,2026-03-12
CO027,2026-02-16
CO030,2026-05-14
CO032,2026-02-19
CO033,2026-10-09
CO035,2026-12-22
CR007,2026-11-07
CR009,2026-03-30
CY001,2026-11-13
D1001,2026-08-12
DA007,2026-01-27
DA017,2026-01-12
DA018,2026-05-24
DA019,2026-01-24
DC001,2026-11-03
DE002,2026-01-19
DE004,2026-02-12
DE009,2026-11-14
DI008,2026-05-05
DI009,2026-05-05
DJ001,2026-11-09
DO006,2026-05-15
DP001,2026-06-03
DP002,2026-07-01
DR003,2026-10-12
ED001,2026-04-23
EF002,2026-04-01
EJ001,2026-04-07
EL007,2026-05-08
EM001,2026-08-14
EN004,2026-12-20
ER001,2026-02-04
EU002,2026-10-26
EV003,2026-02-25
EV00506,2026-11-05
FA005,2026-09-04
FA007,2026-07-02
FA009,2026-01-26
FI004,2026-03-15
FI007,2026-04-20
FI008,2026-07-29
FL002,2026-08-11
FO006,2026-09-12
FO008,2026-12-18
FR001,2026-03-04
FR002,2026-01-13
FS001,2026-04-03
GD001,2026-08-15
GE005,2026-02-25
GE006,2026-09-29
GE007,2026-03-21
GJ001,2026-02-18
GJ003,2026-03-10
GL006,2026-08-30
GL011,2026-12-09
GO007,2026-11-15
GO010,2026-12-17
GR007,2026-04-10
GS001,2026-01-30
HA021,2026-07-07
HA030,2026-04-09
HE001,2026-09-09
HE004,2026-12-12
HE005,2026-12-12
HE007,2026-10-01
HE008,2026-03-24
HI008,2026-11-26
HO001,2026-04-30
HO003,2026-03-25
HO006,2026-05-22
HO007,2026-11-22
HO010,2026-01-21
HO012,2026-06-10
HO016,2026-01-23
HW001,2026-04-19
IF001,2026-10-17
IF003,2026-05-13
IN002,2026-02-01
IN004,2026-04-09
IN006,2026-05-30
IN007,2026-04-25
IN008,2026-06-15
IS002,2026-07-22
IT001,2026-08-18
JA002,2026-11-15
JB002,2026-06-25
JE007,2026-06-01
JK001,2026-05-08
JL002,2026-04-20
JM001,2026-05-15
JO005,2026-12-03
JO006,2026-01-26
JU001,2026-01-22
JU004,2026-04-24
JW001,2026-10-09
KA012,2026-03-20
KE006,2026-04-06
KH001,2026-09-22
KN002,2026-05-05
KN006,2026-11-28
KN007,2026-11-28
KN010,2026-07-03
KO001,2026-10-22
